"ECSO_labels","ECSO_ID"
"biomass volumetric density","http://purl.dataone.org/odo/ecso_00001200"
"biomatter","http://purl.dataone.org/odo/ecso_00001114"
"bird and container weight","http://purl.dataone.org/odo/ecso_00002174"
"bird band identifier","http://purl.dataone.org/odo/ecso_00002218"
"bird nest identifier","http://purl.dataone.org/odo/ecso_00002382"
"black carbon concentration","http://purl.dataone.org/odo/ecso_00000654"
"blowing snow accumulation rate","http://purl.dataone.org/odo/ecso_00002195"
"blowing snow erosion rate","http://purl.dataone.org/odo/ecso_00002197"
"boron ion concentration","http://purl.dataone.org/odo/ecso_00001770"
"boron ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001771"
"bottle integrity","http://purl.dataone.org/odo/ecso_00002314"
"bottle number","http://purl.dataone.org/odo/ecso_00002220"
"branch extension length","http://purl.dataone.org/odo/ecso_00001867"
"braun blanquet cover abundance scale","http://purl.dataone.org/odo/ecso_00002379"
"bromine concentration","http://purl.dataone.org/odo/ecso_00001870"
"bromine concentration in ice","http://purl.dataone.org/odo/ecso_00001871"
"bromine concentration in water","http://purl.dataone.org/odo/ecso_00001872"
"bromine monoxide average mixing ratio","http://purl.dataone.org/odo/ecso_00002350"
"bromine monoxide vertical column density","http://purl.dataone.org/odo/ecso_00002351"
"bromine monoxide vertical column density ratio","http://purl.dataone.org/odo/ecso_00002352"
"built feature count aerial density","http://purl.dataone.org/odo/ecso_00001171"
"buoy latitude","http://purl.dataone.org/odo/ecso_00002131"
"buoy longitude","http://purl.dataone.org/odo/ecso_00002133"
"c to n ratio","http://purl.dataone.org/odo/ecso_00001138"
"cadmium concentration","http://purl.dataone.org/odo/ecso_00001875"
"cadmium concentration in ice","http://purl.dataone.org/odo/ecso_00001876"
"cadmium solubility in water","http://purl.dataone.org/odo/ecso_00001826"
"calamagrostis deschampsioides percent cover","http://purl.dataone.org/odo/ecso_00001598"
"calcium carbonate concentration","http://purl.dataone.org/odo/ecso_00003196"
"calcium counts per second","http://purl.dataone.org/odo/ecso_00002183"
"calcium ion concentration","http://purl.dataone.org/odo/ecso_00001772"
"calcium ion concentration in ice","http://purl.dataone.org/odo/ecso_00001877"
"calcium ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001773"
"calcium ion concentration in river water","http://purl.dataone.org/odo/ecso_00001873"
"calcium ion concentration in river water standard deviation","http://purl.dataone.org/odo/ecso_00001874"
"calcium ion concentration in soil","http://purl.dataone.org/odo/ecso_00001880"
"calcium ion concentration in water","http://purl.dataone.org/odo/ecso_00002031"
"calcium percent soils total exchange capacity","http://purl.dataone.org/odo/ecso_00002306"
"calcium retranslocation efficiency percentage","http://purl.dataone.org/odo/ecso_00002353"
"calcium solubility in water","http://purl.dataone.org/odo/ecso_00001827"
"calibrated water salinity","http://purl.dataone.org/odo/ecso_00001655"
"canopy diameter","http://purl.dataone.org/odo/ecso_00001215"
"canopy height","http://purl.dataone.org/odo/ecso_00001220"
"canopy percentage","http://purl.dataone.org/odo/ecso_00001192"
"capture location latitude","http://purl.dataone.org/odo/ecso_00002138"
"capture location longitude","http://purl.dataone.org/odo/ecso_00002152"
"capture time","http://purl.dataone.org/odo/ecso_00002057"
"carapace length","http://purl.dataone.org/odo/ecso_00001923"
"carbon accumulation rate","http://purl.dataone.org/odo/ecso_00000664"
"carbon biomass","http://purl.dataone.org/odo/ecso_00001143"
"carbon biomass density","http://purl.dataone.org/odo/ecso_00001180"
"carbon concentration","http://purl.dataone.org/odo/ecso_00002932"
"carbon cycle component","http://purl.dataone.org/odo/ecso_00000010"
"carbon dioxide concentration","http://purl.dataone.org/odo/ecso_00000530"
"carbon dioxide concentration in soil","http://purl.dataone.org/odo/ecso_00000637"
"carbon dioxide diffusion flux","http://purl.dataone.org/odo/ecso_00000201"
"carbon dioxide flux","http://purl.dataone.org/odo/ecso_00000536"
"carbon dioxide mass density","http://purl.dataone.org/odo/ecso_00000679"
"carbon dioxide partial pressure","http://purl.dataone.org/odo/ecso_00000636"
"carbon dioxide partial pressure  at sea surface","http://purl.dataone.org/odo/ecso_00000634"
"carbon dioxide pool","http://purl.dataone.org/odo/ecso_00000203"
"carbon dioxide pressure","http://purl.dataone.org/odo/ecso_00001224"
"carbon dioxide weight fraction","http://purl.dataone.org/odo/ecso_00000635"
"carbon flux","http://purl.dataone.org/odo/ecso_00001105"
"carbon flux calculated from exponential fit","http://purl.dataone.org/odo/ecso_00001908"
"carbon flux calculated from linear fit","http://purl.dataone.org/odo/ecso_00001909"
"carbon isotope ratio","http://purl.dataone.org/odo/ecso_00001514"
"carbon isotope ratio corrected for suess effect","http://purl.dataone.org/odo/ecso_00000674"
"carbon isotope ratio not corrected for suess effect","http://purl.dataone.org/odo/ecso_00000675"
"carbon monoxide concentration","http://purl.dataone.org/odo/ecso_00000611"
"carbon monoxide flux","http://purl.dataone.org/odo/ecso_00000614"
"carbon nitrogen ratio","http://purl.dataone.org/odo/ecso_00001138"
"carbon percentage","http://purl.dataone.org/odo/ecso_00001127"
"carbon pool","http://purl.dataone.org/odo/ecso_00000025"
"carbon pool biomass density","http://purl.dataone.org/odo/ecso_00001180"
"carbon proportion","http://purl.dataone.org/odo/ecso_00000641"
"carbon proportion in dry soil","http://purl.dataone.org/odo/ecso_00000645"
"carbon proportion in plant roots","http://purl.dataone.org/odo/ecso_00000644"
"carbon proportion of plant leaves","http://purl.dataone.org/odo/ecso_00000642"
"carbon proportion of plant stems","http://purl.dataone.org/odo/ecso_00000643"
"carbon sequestration rate","http://purl.dataone.org/odo/ecso_00000664"
"carbon si ratio","http://purl.dataone.org/odo/ecso_00001142"
"carbon specific gross production rate","http://purl.dataone.org/odo/ecso_00001196"
"carbon specific net production rate","http://purl.dataone.org/odo/ecso_00001128"
"carbon stable isotope ratio","http://purl.dataone.org/odo/ecso_00001142"
"carbon storage rate","http://purl.dataone.org/odo/ecso_00000664"
"carbon to nitrogen mass ratio","http://purl.dataone.org/odo/ecso_00000638"
"carbon to nitrogen molar ratio","http://purl.dataone.org/odo/ecso_00000639"
"carbon to nitrogen ratio","http://purl.dataone.org/odo/ecso_00001138"
"carbon weight","http://purl.dataone.org/odo/ecso_00001143"
"carbon14 uptake method","http://purl.dataone.org/odo/ecso_00000092"
"carbonate concentration","http://purl.dataone.org/odo/ecso_00000565"
"carbonate pool","http://purl.dataone.org/odo/ecso_00000204"
"carex aquatilis percent cover","http://purl.dataone.org/odo/ecso_00001599"
"carex glareosa percent cover","http://purl.dataone.org/odo/ecso_00001589"
"carex lyngbyaei percent cover","http://purl.dataone.org/odo/ecso_00001635"
"carex ramenskii percent cover","http://purl.dataone.org/odo/ecso_00001587"
"carex rariflora percent cover","http://purl.dataone.org/odo/ecso_00001600"
"cast identifier","http://purl.dataone.org/odo/ecso_00002223"
"cast start time","http://purl.dataone.org/odo/ecso_00002041"
"cation concentration","http://purl.dataone.org/odo/ecso_00001774"
"cation concentration in lake water","http://purl.dataone.org/odo/ecso_00001775"
